City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Puerto Ayora,EC,2021-01-14 21:37:57,-0.7393,-90.3518,80.6,78,75,4.61
53,Nyurba,RU,2021-01-14 21:41:26,63.2842,118.3319,-15.36,88,100,5.5
54,Moose Factory,CA,2021-01-14 21:35:16,51.2585,-80.6094,24.8,93,90,3.44
55,Samarai,PG,2021-01-14 21:41:27,-10.6167,150.6667,79.5,88,100,13.4
56,Talnakh,RU,2021-01-14 21:41:27,69.4865,88.3972,-41.15,79,37,2.51
57,Bethel,US,2021-01-14 21:33:51,41.3712,-73.414,44.6,65,90,3.44
58,Luwuk,ID,2021-01-14 21:41:27,-0.9516,122.7875,78.49,76,100,3.11
59,Berlevag,NO,2021-01-14 21:38:42,70.8578,29.0864,32.0,80,75,12.66
60,Carnarvon,AU,2021-01-14 21:34:27,-24.8667,113.6333,77.0,100,15,13.8
61,Saskylakh,RU,2021-01-14 21:34:38,71.9167,114.0833,-47.06,76,47,2.28
62,Ushuaia,AR,2021-01-14 21:37:35,-54.8,-68.3,53.6,58,20,3.44
63,Gonda,IN,2021-01-14 21:41:28,27.1333,81.9333,49.14,64,54,3.4
64,Mpongwe,ZM,2021-01-14 21:41:28,-13.5091,28.155,65.16,94,100,2.15
65,Kastamonu,TR,2021-01-14 21:39:30,41.5,33.6667,26.62,95,85,7.67
66,Hithadhoo,MV,2021-01-14 21:37:52,-0.6,73.0833,81.45,79,100,18.03
67,Salalah,OM,2021-01-14 21:34:32,17.0151,54.0924,77.0,13,0,13.8
68,Mount Gambier,AU,2021-01-14 21:38:05,-37.8333,140.7667,55.4,67,75,13.8
69,Saint-Philippe,RE,2021-01-14 21:34:15,-21.3585,55.7679,78.8,83,90,3.44
70,Praia Da Vitoria,PT,2021-01-14 21:35:04,38.7333,-27.0667,62.6,88,75,22.5
71,Samana,DO,2021-01-14 21:41:30,19.2056,-69.3369,82.4,78,40,9.22
72,Jamestown,US,2021-01-14 21:33:42,42.097,-79.2353,37.0,100,90,5.75
73,Cherskiy,RU,2021-01-14 21:36:29,68.75,161.3,-23.33,85,98,7.05
74,Yellowknife,CA,2021-01-14 21:37:38,62.456,-114.3525,8.6,85,75,4.61
